Hours Studied,Attendance,Previous Score,Final Score
9.8,74.9,39.3,25.24
10.8,80.9,50.3,36.8
4.7,85.1,56.7,36.54
5.1,78.0,63.3,37.69
2.0,50.5,37.7,14.41
7.4,66.3,43.4,31.9
1.4,75.9,51.6,30.9
6.1,54.4,93.3,49.17
7.0,67.5,54.9,35.14
4.2,51.7,63.9,25.72
7.5,53.9,46.8,25.56
1.3,69.8,71.6,43.24
1.4,56.6,51.8,21.03
10.0,78.4,47.4,29.28
5.0,84.5,66.0,37.32
2.4,90.0,35.3,17.72
6.7,60.0,35.5,15.42
9.5,58.4,48.1,26.12
3.4,55.2,37.2,9.7
7.9,81.8,41.5,28.45
1.9,85.3,55.3,35.06
1.6,51.6,83.2,34.47
6.8,96.8,69.3,52.51
6.9,52.6,65.8,35.59
8.0,77.1,52.6,37.53
9.0,85.5,90.9,54.84
11.7,93.5,58.8,47.66
6.7,85.7,40.2,23.2
4.6,90.1,72.0,47.83
9.7,67.0,41.8,27.16
4.0,90.7,55.7,37.12
5.8,54.0,65.4,27.99
1.9,94.7,87.5,47.93
1.3,77.4,64.6,36.44
11.6,90.9,77.1,49.78
10.2,72.6,94.6,59.21
8.7,82.2,42.9,24.51
5.5,76.3,51.5,33.74
2.9,86.6,58.7,29.61
2.7,54.1,60.3,29.33
3.8,53.0,59.7,30.01
7.0,62.4,89.5,46.34
8.9,58.0,77.8,45.63
8.3,93.6,71.5,49.24
4.1,61.0,53.6,24.26
11.5,98.8,84.4,55.44
9.1,66.8,92.3,45.8
7.1,59.1,84.3,46.93
7.7,89.5,35.1,20.35
5.6,82.9,73.2,44.41
3.7,74.9,38.1,19.96
4.9,77.8,50.5,32.35
9.3,86.0,38.6,27.89
1.2,61.4,71.2,32.27
2.3,99.8,76.2,49.86
1.5,98.7,41.9,28.41
1.4,82.5,58.0,33.05
10.4,60.0,62.4,38.56
8.7,84.0,57.1,32.09
6.2,53.6,42.3,23.27
2.1,51.5,60.1,28.27
6.4,62.9,80.1,39.47
6.2,73.1,39.3,22.49
2.9,93.4,39.8,25.69
5.8,86.4,56.3,35.25
5.4,87.1,91.5,56.3
7.8,71.3,75.1,49.88
8.0,67.3,75.7,47.99
1.5,68.6,56.7,22.44
5.1,99.4,70.6,48.76
7.9,52.0,35.6,23.01
6.5,93.4,73.2,49.01
10.4,78.9,89.8,60.84
8.2,71.9,71.8,50.89
2.8,86.3,87.4,54.26
1.8,74.3,78.4,42.31
8.1,93.7,42.2,36.11
1.3,95.0,89.1,52.5
7.4,71.1,39.0,23.98
11.3,63.8,67.0,39.56
7.3,79.6,43.5,34.65
5.3,95.6,35.7,23.03
8.1,60.5,60.3,39.71
6.0,81.1,52.7,34.66
7.0,81.6,64.2,34.41
11.4,86.7,69.6,49.69
5.2,56.6,37.6,9.11
11.6,85.8,42.4,35.71
11.0,95.5,68.5,52.99
3.2,59.0,55.6,23.84
1.8,61.9,78.8,38.93
2.1,98.6,74.1,53.11
1.2,59.0,85.7,38.94
2.0,92.7,76.5,40.81
8.5,74.6,60.8,43.67
1.8,62.4,75.4,44.54
4.5,93.5,51.5,33.76
10.3,72.3,53.4,38.76
1.3,75.7,82.3,48.73
10.0,68.0,61.8,35.02
4.1,79.6,82.9,45.24
2.3,58.2,84.3,45.91
8.7,69.6,86.5,57.55
7.9,98.5,90.0,61.49
10.7,62.9,60.9,33.33
9.1,82.8,54.1,44.59
9.8,66.3,69.9,39.72
4.1,88.7,57.3,34.04
3.0,56.5,71.1,35.3
9.3,98.5,77.3,59.73
9.9,72.7,76.3,50.47
11.9,61.8,57.5,37.44
5.5,53.7,45.0,22.98
5.1,58.5,60.8,30.83
9.5,76.0,43.6,31.76
4.7,66.9,88.4,37.46
11.2,91.4,55.8,40.43
10.4,71.5,44.3,30.57
5.7,62.4,36.5,14.2
9.3,80.9,73.7,48.68
9.3,85.3,73.2,47.14
2.1,58.4,55.4,31.98
10.9,58.4,39.3,30.32
6.6,51.8,59.6,27.81
10.1,86.8,53.7,37.72
4.5,83.2,75.6,44.13
10.9,73.7,71.3,43.64
5.3,92.2,56.9,37.9
1.1,90.3,48.1,24.99
11.0,79.3,94.3,55.07
2.0,93.4,62.2,39.85
4.5,60.3,76.3,41.61
11.5,55.6,43.4,22.9
11.5,63.5,64.1,43.06
7.3,52.9,36.7,15.45
8.0,76.6,65.3,41.28
5.9,96.8,92.8,61.83
4.2,52.0,58.1,26.6
4.6,56.1,37.3,18.5
8.4,72.6,36.9,21.94
9.3,96.7,58.3,41.82
9.7,65.8,44.6,26.89
9.7,75.4,36.4,22.61
2.0,52.1,80.4,36.34
6.4,57.4,62.5,26.29
1.6,99.3,52.4,31.12
7.0,98.3,89.0,56.69
5.9,50.2,42.0,17.94
10.8,97.6,92.4,61.97
4.9,82.0,53.8,32.25
2.3,93.4,88.3,53.9
2.6,72.7,71.2,41.17
9.4,75.8,84.6,49.34
7.8,74.4,94.0,50.51
2.1,83.3,52.3,25.31
1.9,57.0,92.7,43.0
8.7,51.5,58.4,29.42
1.8,65.4,58.1,24.85
10.0,85.2,55.4,33.59
8.8,60.1,67.5,36.25
1.9,83.7,44.2,25.67
1.9,98.5,68.2,44.23
11.9,54.7,67.5,37.28
5.1,83.6,80.7,46.22
5.1,72.2,85.0,43.68
9.9,93.4,61.4,43.9
11.4,58.9,53.1,28.8
11.8,84.6,50.6,39.89
9.3,91.9,46.7,27.89
5.1,97.2,38.5,26.63
1.9,84.2,55.5,32.49
9.5,74.9,51.2,34.17
7.1,80.9,93.0,66.54
5.7,93.4,68.5,45.55
11.0,78.5,55.8,34.2
2.2,51.5,69.8,30.86
6.4,96.5,43.4,24.65
1.1,84.5,61.6,33.67
6.2,83.8,72.6,41.13
1.6,60.8,64.3,33.67
2.3,82.9,59.1,31.1
2.3,69.7,94.6,49.06
8.1,82.6,87.8,51.69
9.2,55.3,72.4,46.88
7.4,82.9,69.2,42.16
11.6,100.0,72.2,60.48
5.1,52.4,47.1,24.85
4.1,98.9,58.7,40.63
10.6,70.3,37.4,27.16
3.5,93.5,63.5,41.03
11.6,89.1,67.6,40.18
1.1,78.4,48.7,24.26
11.7,86.9,92.8,64.68
1.5,93.9,89.6,51.91
10.8,70.2,78.3,42.71
6.8,66.4,67.0,37.36
11.9,83.4,87.2,64.34
1.8,90.4,42.8,30.75
7.1,88.1,82.4,51.49
11.7,89.9,42.5,38.19
6.8,71.8,82.7,46.09
7.9,90.9,51.5,29.34
8.7,56.0,87.6,44.31
6.0,77.2,91.6,59.33
7.9,50.3,43.9,20.73
7.4,66.2,62.8,34.78
10.9,68.3,93.9,55.33
1.5,69.8,64.0,39.62
4.1,84.8,86.8,57.13
11.5,69.4,70.3,53.24
10.8,72.4,57.5,36.81
6.0,61.9,52.1,28.71
7.8,68.7,47.2,22.09
4.1,61.4,80.7,47.33
3.1,53.7,58.2,21.55
6.1,80.2,65.7,40.54
4.9,83.4,64.5,34.35
7.4,81.0,69.6,40.83
1.9,73.2,86.9,42.46
11.7,69.0,93.8,54.94
11.8,93.2,59.5,42.49
8.7,76.0,84.7,49.22
6.9,74.0,80.9,50.54
4.4,51.3,69.4,28.54
10.0,67.1,92.4,55.48
8.5,69.0,47.0,33.62
2.8,69.9,41.6,18.82
11.0,79.0,86.2,52.19
10.0,76.7,61.3,38.97
11.4,80.4,85.8,60.27
9.0,88.2,88.6,57.66
7.7,90.6,38.7,26.74
5.6,85.9,88.0,54.85
11.3,97.8,61.9,42.26
10.5,50.9,65.6,38.98
1.5,59.8,72.6,35.86
1.3,50.4,90.6,40.37
5.1,82.4,36.1,19.69
9.9,94.9,63.6,42.07
11.9,62.2,76.3,48.36
2.7,96.4,78.4,52.57
7.5,53.0,76.6,37.58
5.2,96.7,43.1,32.39
11.7,67.6,53.0,26.23
10.3,55.1,56.5,29.78
10.2,74.3,83.3,51.45
6.2,62.8,51.7,24.08
5.6,64.2,47.6,21.52
4.0,65.4,92.4,46.1
1.6,90.2,35.5,22.68
10.5,77.0,94.9,58.15
9.9,65.6,75.6,35.94
12.0,80.5,84.7,47.03
12.0,85.8,52.7,36.81
7.1,63.6,35.9,21.87
9.5,70.7,79.3,36.85
11.4,56.1,85.0,47.04
10.3,59.1,79.4,43.61
3.7,84.1,43.6,31.89
6.0,59.1,80.2,40.74
2.4,76.3,81.1,45.37
11.5,85.5,74.5,51.27
7.7,55.3,81.0,34.78
3.5,78.4,85.8,51.01
8.4,62.8,71.8,41.61
7.8,98.1,40.3,33.74
4.9,74.2,64.3,52.03
2.2,90.3,39.7,16.05
8.4,77.5,59.5,44.56
6.7,52.2,59.4,28.6
9.5,81.7,39.0,29.57
6.7,97.6,55.9,38.99
10.4,80.1,41.7,28.62
7.1,91.0,83.5,50.79
7.2,94.2,91.9,59.89
10.6,61.4,39.3,18.44
5.4,60.6,92.3,51.78
2.5,80.5,66.4,35.23
1.3,70.6,53.0,21.45
9.3,92.0,39.6,29.35
7.8,95.0,65.0,49.55
8.7,67.7,82.7,46.1
3.3,61.8,77.4,40.42
2.5,89.0,38.0,20.48
1.2,63.7,39.4,19.71
4.9,91.1,59.2,40.49
7.5,71.2,52.7,38.93
5.3,83.4,48.9,29.81
5.8,54.8,51.9,28.14
10.9,81.2,83.2,54.26
4.8,72.6,90.8,55.59
6.7,79.3,59.3,33.59
9.6,58.4,89.4,53.39
5.4,86.8,54.3,33.65
7.8,93.1,63.6,43.02
10.5,60.8,48.6,29.75
11.4,54.8,73.4,43.34
2.6,51.2,93.7,44.21
11.2,82.1,71.2,48.62
6.4,80.4,56.5,41.25
3.8,77.3,73.9,45.33
6.1,61.6,42.4,25.69
11.8,69.5,88.3,52.74
6.4,79.7,65.2,35.99
4.6,74.8,62.0,38.76
8.0,99.4,70.2,52.16
3.6,56.8,72.5,41.21
1.8,84.8,39.3,20.02
2.4,70.2,76.0,38.59
2.4,71.4,49.5,18.68
2.7,85.9,77.8,43.13
2.5,84.6,84.4,51.81
8.0,99.6,83.2,53.99
3.0,56.4,68.2,34.87
4.8,55.2,66.2,31.77
10.9,86.2,43.6,34.64
6.2,78.9,81.5,43.54
8.3,63.7,51.3,29.95
2.9,54.0,64.8,17.79
3.1,54.3,52.1,22.27
1.4,94.7,43.0,20.06
2.9,59.6,72.8,40.37
4.1,66.2,38.3,22.41
2.9,61.3,79.9,41.75
2.0,67.7,54.1,32.56
2.3,53.5,35.0,8.9
6.1,76.0,65.7,45.61
3.3,53.4,37.8,18.84
5.0,90.0,51.6,32.43
6.5,61.7,77.4,46.39
8.6,77.0,38.8,21.9
1.4,94.0,85.4,46.43
9.8,82.5,35.2,24.37
7.9,76.6,49.8,29.53
1.9,66.2,79.5,35.76
10.6,66.7,54.0,38.81
11.1,83.5,41.1,30.43
1.7,99.7,56.6,37.0
4.0,83.1,51.2,28.25
9.9,77.9,85.6,46.18
9.2,86.5,53.8,38.58
3.0,73.3,82.3,36.64
3.3,53.0,88.5,42.62
5.1,78.1,61.0,30.19
6.3,97.9,89.6,65.37
7.8,58.8,57.6,35.05
5.1,84.5,92.8,55.18
6.1,60.0,40.4,25.76
9.2,76.8,76.2,44.0
1.4,54.8,64.6,30.66
3.8,72.5,58.3,32.41
8.8,87.8,73.0,49.08
10.8,67.4,77.2,52.12
6.6,83.2,35.3,27.08
6.9,89.8,45.0,32.56
2.2,96.4,77.8,40.25
5.9,61.7,75.0,36.14
6.9,70.0,93.0,52.37
3.7,57.6,80.7,40.49
4.0,99.6,92.0,52.58
5.2,96.4,77.2,58.89
1.2,77.0,52.9,33.49
4.5,92.1,41.3,30.2
3.3,76.0,81.9,45.3
4.6,81.2,73.6,42.07
2.3,54.5,37.9,10.73
10.8,87.8,56.6,41.11
7.5,56.4,92.4,50.7
8.5,91.3,65.0,39.26
9.7,89.1,61.0,43.89
6.5,85.4,62.5,38.95
2.0,51.8,47.5,11.24
6.9,65.2,57.1,28.47
7.5,63.2,57.2,30.36
9.2,68.0,38.1,31.79
5.7,54.4,81.1,43.56
2.4,96.8,60.0,32.02
4.1,77.7,84.3,49.42
5.0,65.3,86.0,39.94
8.1,69.8,47.7,33.31
7.3,72.4,74.4,41.71
4.9,80.0,63.3,36.85
11.9,75.8,87.8,61.25
7.7,96.0,47.9,30.13
3.6,74.8,75.7,35.99
2.1,99.6,71.5,41.78
2.7,92.6,52.7,36.72
3.7,60.4,43.2,14.11
2.8,96.5,74.1,34.07
3.1,55.8,79.3,36.55
4.1,90.9,53.9,36.27
2.9,69.0,73.7,43.2
10.9,93.9,58.7,41.72
1.9,93.4,77.8,44.2
6.8,90.3,47.0,37.16
5.5,89.5,88.4,46.47
11.8,65.2,52.2,32.08
2.2,54.0,57.1,25.65
5.4,70.1,38.5,23.36
11.7,58.7,41.7,24.1
10.5,84.7,66.0,45.06
10.0,67.3,51.1,21.98
3.8,98.8,85.1,50.29
2.9,82.0,35.9,22.67
8.4,91.1,57.7,36.14
11.2,56.6,55.2,32.83
7.1,93.1,36.2,29.36
7.3,96.1,42.5,30.6
4.1,74.4,59.8,33.86
9.5,80.3,64.6,38.3
3.1,88.2,59.3,34.63
4.6,58.7,66.9,36.05
5.7,75.1,70.7,41.42
6.6,69.9,35.6,18.65
3.7,57.3,62.8,31.09
2.3,68.4,92.8,51.07
7.7,53.4,66.1,26.44
4.2,51.3,75.7,40.88
7.4,56.8,53.7,27.05
2.7,98.2,81.4,51.45
6.3,77.5,81.4,52.6
6.9,98.3,66.3,39.76
1.6,71.6,93.6,45.98
4.7,65.6,42.5,20.85
2.5,75.3,36.0,15.74
1.7,72.0,81.2,49.13
11.9,55.3,83.4,44.98
4.5,82.0,42.2,23.54
9.9,60.8,50.9,30.92
3.8,81.0,36.1,16.72
8.5,82.5,52.6,33.62
9.4,57.6,81.4,46.9
7.6,53.1,66.1,33.14
6.2,89.0,55.9,36.2
5.5,73.0,57.3,30.6
4.8,52.9,35.1,8.79
11.2,99.7,53.0,43.44
10.1,52.9,73.8,47.92
11.6,84.8,93.5,61.14
2.4,99.2,85.8,53.05
9.0,62.0,36.4,24.39
11.3,57.1,88.9,46.26
3.0,56.1,82.0,46.64
1.7,65.2,81.8,41.63
9.2,55.1,62.5,40.96
7.3,84.6,58.9,35.18
10.3,53.1,53.2,37.08
2.5,75.5,38.9,23.62
9.7,99.8,48.7,40.68
3.2,90.7,49.8,31.88
2.8,80.8,64.0,34.93
2.8,65.3,79.8,45.54
10.0,81.2,63.4,42.73
8.3,76.4,38.5,17.88
6.8,71.3,92.5,48.35
4.9,56.5,91.6,46.17
10.6,94.3,82.1,57.51
5.3,72.5,94.5,52.64
10.0,59.7,67.7,44.04
5.8,68.4,92.8,43.56
5.1,70.7,39.5,22.56
6.1,91.4,56.9,30.36
4.3,86.7,48.5,33.26
9.2,88.5,46.7,33.71
6.5,50.6,43.4,22.05
3.6,70.8,72.3,35.25
10.9,74.1,81.9,56.5
5.2,51.0,69.7,37.93
7.0,63.0,43.8,26.47
11.0,88.0,83.7,55.42
7.9,56.9,73.2,41.91
2.3,76.8,58.3,28.51
11.3,60.8,75.4,48.26
7.9,50.6,50.6,32.19
4.7,62.1,55.7,32.67
2.5,98.8,90.0,51.53
9.7,90.1,52.4,39.52
7.8,98.0,63.2,39.11
6.9,74.4,88.4,53.72
10.8,55.5,77.5,46.02
9.7,77.4,38.7,19.89
2.7,72.7,43.8,18.05
4.4,92.2,35.5,23.4
3.7,54.9,72.9,33.95
9.2,74.4,61.9,34.09
1.4,57.5,43.1,18.9
7.3,66.2,92.5,53.0
9.4,86.9,66.8,44.15
10.6,73.8,49.5,30.19
4.8,68.8,65.0,39.46
10.0,69.7,75.8,52.74
2.2,73.0,39.6,18.08
10.3,89.3,51.5,35.47
2.4,94.6,83.4,51.64
5.4,97.8,62.6,40.31
9.8,89.3,67.8,45.88
2.6,65.8,61.0,33.3
3.5,84.4,37.6,15.29
8.9,71.9,44.9,33.95
8.9,62.7,61.7,35.91
8.1,92.0,47.6,32.82
8.6,51.9,38.0,19.26
7.0,95.1,85.6,55.0
3.8,73.1,93.9,44.42
4.8,81.9,82.6,54.2
3.0,83.0,86.2,49.03
11.0,94.8,49.5,40.6
7.4,81.8,92.6,59.85
5.4,80.7,46.8,24.69
6.1,53.3,92.1,49.36
11.4,75.9,94.7,58.25
2.7,57.5,77.7,40.93
7.4,86.9,93.9,49.52
6.6,75.6,69.2,40.5
7.7,84.0,50.6,31.35
1.2,52.1,61.2,27.49
10.6,54.2,70.6,41.8
11.3,85.8,39.4,28.46
7.2,53.6,72.3,34.8
8.7,53.6,93.9,50.43
11.1,50.6,46.4,22.57
8.8,97.8,82.6,59.17
2.7,86.9,89.5,49.9
7.3,67.7,91.6,40.25
7.7,64.8,92.6,50.56
5.7,67.5,66.3,32.32
9.1,88.7,93.6,53.32
11.3,83.1,80.4,48.22
11.2,59.3,44.7,27.93
6.0,58.7,63.6,38.37
2.2,54.9,78.1,37.91
11.8,83.0,49.8,34.33
10.2,88.2,73.4,51.42
2.4,63.3,75.0,35.4
11.1,51.0,44.8,22.6
10.6,54.1,68.9,34.34
6.7,98.4,81.3,46.34
7.5,64.8,64.9,35.09
5.4,88.5,35.7,25.25
1.6,81.2,35.5,18.88
4.7,69.1,56.4,28.86
9.8,60.3,90.6,47.94
1.1,56.1,48.7,22.23
4.7,80.8,73.1,37.37
5.4,88.7,48.3,34.7
6.9,82.2,54.3,30.62
11.1,76.5,85.9,51.35
4.8,52.1,78.7,32.76
4.8,98.4,40.7,27.3
9.1,89.9,60.7,45.95
6.0,64.6,36.8,21.85
3.5,99.0,63.9,44.96
6.0,80.1,74.7,46.6
2.5,79.1,42.1,18.77
2.9,87.4,52.3,29.9
6.5,90.6,58.9,35.77
5.6,82.8,90.2,58.67
11.1,56.4,94.6,49.33
5.0,66.9,37.7,23.53
7.4,96.4,80.7,56.72
8.0,61.2,57.3,39.33
1.1,68.6,58.5,26.68
8.3,71.6,80.3,50.38
3.0,72.0,90.1,57.38
11.6,80.6,92.1,56.77
2.6,97.2,69.6,36.78
5.6,62.0,56.4,22.04
1.9,56.1,82.3,41.85
12.0,59.9,50.1,23.8
6.5,94.3,68.8,43.78
7.5,82.3,56.5,38.15
1.7,64.3,74.4,37.27
9.2,90.8,49.4,37.85
3.3,93.1,46.5,30.71
10.9,92.3,90.1,65.56
3.3,95.9,41.1,23.74
3.1,62.6,65.4,29.7
1.4,87.8,48.3,24.68
6.2,73.0,37.3,25.67
7.2,92.1,37.2,31.57
1.7,86.4,45.5,27.96
9.5,88.8,87.0,61.33
6.0,82.8,51.9,27.93
6.8,58.9,92.0,56.11
5.8,77.3,69.9,47.08
5.4,99.2,61.2,44.26
7.2,96.9,69.8,54.22
2.7,52.2,66.0,23.15
3.0,58.2,80.5,37.43
10.5,56.6,51.9,27.2
11.4,86.3,56.2,43.63
5.1,90.9,88.6,49.84
4.0,60.7,91.8,50.29
